n_qubits,n_layers,family,sre_mean,sre_std,sre_min,sre_max
4,1,clifford,1.5376447013039753e-15,8.663646410452091e-16,-0.0,2.562741168839959e-15
4,1,haar,1.2623607476552328,0.6028470139462839,-0.0,1.9383786916732788
4,1,quansistor,1.4213866472244263,0.4787072554024924,0.5323531031608582,2.071769952774048
4,1,random,0.42397543974220764,0.33880739259790105,-0.0,0.9688208103179932
4,2,clifford,0.35969917774200455,0.21432445000604347,-0.0,0.8300750255584717
4,2,haar,1.7668088674545288,0.33971336931227275,0.8681694269180298,2.1149418354034424
4,2,quansistor,1.5627112110455832,0.487606408597762,0.6671043038368225,2.2310221195220947
4,2,random,0.6460217247406642,0.3964486035439056,0.0608208030462265,1.4998228549957275
4,4,clifford,0.85499693552653,0.4744233661192433,0.41503751277923584,2.0056464672088623
4,4,haar,2.0937137524286906,0.329504633428143,1.3749357461929321,2.3858320713043213
4,4,quansistor,1.712237584590912,0.41239002327091406,0.9283595681190491,2.3229501247406006
4,4,random,1.2626525660355885,0.5393143830274303,0.27487656474113464,2.203106164932251
4,6,clifford,0.7940896352132162,0.5557226015711048,9.61027911845205e-16,2.0227200984954834
4,6,haar,2.15613861878713,0.2612118092531299,1.555726170539856,2.409703493118286
4,6,quansistor,2.042522970835368,0.28663431947731804,1.330513834953308,2.3946518898010254
4,6,random,1.4671581427256266,0.30133026533401597,1.000963568687439,2.0438344478607178
4,8,clifford,1.3774627248446147,0.6005846087583016,0.41503751277923584,2.1801202297210693
4,8,haar,2.1493766069412232,0.12423807332990322,1.9271975755691528,2.3841569423675537
4,8,quansistor,2.1054242928822835,0.268406719298428,1.496209979057312,2.3320415019989014
4,8,random,1.7081248124440511,0.26455865950365415,1.2193931341171265,2.1178131103515625
4,10,clifford,1.5928256909052532,0.3780835209092103,1.0574854612350464,2.3460583686828613
4,10,haar,2.2020989815394083,0.1713510119307909,1.730064034461975,2.3917996883392334
4,10,quansistor,2.238434910774231,0.16853628431655157,1.8321994543075562,2.505403757095337
4,10,random,1.6166050712267557,0.319553719613034,0.9441075921058655,2.0679421424865723
4,12,clifford,1.4582086324691772,0.45284617694163737,0.5405683517456055,2.2903759479522705
4,12,haar,2.298930279413859,0.08586385983003166,2.054499864578247,2.4197311401367188
4,12,quansistor,2.2174275795618694,0.130020945372871,1.9443649053573608,2.3758773803710938
4,12,random,1.6872507333755493,0.4461469106932074,0.8464767932891846,2.4500420093536377
4,14,clifford,1.748513130346934,0.43174123422751226,0.8927879929542542,2.3579483032226562
4,14,haar,2.217196544011434,0.1696658139789766,1.8029053211212158,2.444232225418091
4,14,quansistor,2.217490808169047,0.20359791972603772,1.5473047494888306,2.397372245788574
4,14,random,1.9113659302393595,0.32567874794271884,1.332045316696167,2.294174909591675
4,16,clifford,2.0539585908253986,0.34959306476610785,1.240986943244934,2.4180374145507812
4,16,haar,2.232636046409607,0.12551733101435691,1.905147671699524,2.400040864944458
